Facility ID,Facility Name,Short Description,Description,Facility Open Date,Facility Address 1,Facility Address 2,Facility City,Facility State,Facility Zip Code,Facility Phone Number,Facility Fax Number,Facility Website,Facility County Code,Facility County,Regional Office ID,Regional Office,Main Site Name,Main Site Facility ID,Operating Certificate Number,Operator Name,Operator Address 1,Operator Address 2,Operator City,Operator State,Operator Zip Code,Cooperator Name,Cooperator Address,Cooperator Address 2,Cooperator City,Cooperator State,Cooperator Zip Code,Ownership Type,Facility Latitude,Facility Longitude,Facility Location
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,HOSP,Hospital,1/1/1901,191 North Main Street,,Wellsville,New York,14895,5855931100,,,2,Allegany,1,Western Regional Office - Buffalo,,,0228000H,The Memorial Hospital of William F & Gertrude F Jones Inc,191 North Main Street,,Wellsville,New York,14895,,,,,New York,,Not for Profit Corporation,42.122921,-77.949974,"(42.122921, -77.949974)"
41,Highland Park Rehabilitation and Nursing Center,NH,Residential Health Care Facility - SNF,2/1/1980,160 Seneca St,,Wellsville,New York,14895,5855933750,,,2,Allegany,1,Western Regional Office - Buffalo,,,0228306N,"HRNC, LLC",1 Hillcrest Center Drive,Suite 225,Spring Valley,New York,10977,,,,,New York,,LLC,42.123119,-77.96125,"(42.123119, -77.96125)"
42,United Health Services Hospitals Inc. - Binghamton General Hospital,HOSP,Hospital,2/1/1980,10-42 Mitchell Avenue,,Binghamton,New York,13903,6077622200,,,3,Broome,3,Central New York Regional Office,,,0303001H,United Health Services Hospitals Inc,Po Box 54o,,Johnson City,New York,13790,,,,,New York,,Not for Profit Corporation,42.088062,-75.91423,"(42.088062, -75.91423)"
43,Our Lady of Lourdes Memorial Hospital Inc,HOSP,Hospital,1/1/1901,169 Riverside Drive,,Binghamton,New York,13905,6077985111,,,3,Broome,3,Central New York Regional Office,,,0301001H,Our Lady of Lourdes Memorial Hospital Inc,169 Riverside Drive,,Binghamton,New York,13905,,,,,New York,,Not for Profit Corporation,42.092606,-75.935646,"(42.092606, -75.935646)"
45,Broome County Health Dept,DTC,Diagnostic and Treatment Center,9/27/1979,225 Front St,,Binghamton,New York,13905,6077782802,,,3,Broome,3,Central New York Regional Office,,,0301201R,Broome County Health Department,Government Plaza - Po Box 1766,,Binghamton,New York,13902,,,,,New York,,County,42.105343,-75.915642,"(42.105343, -75.915642)"
46,"Family Planning of South Central New York, Inc. at Binghamton",DTC-EC,Diagnostic and Treatment Center Extension Clinic,4/4/2002,117 Hawley Street,,Binghamton,New York,13901,6077239449,,,3,Broome,3,Central New York Regional Office,"Family Planning of South Central New York, Inc.",742,3801202R,"Family Planning of South Central New York, Inc.",37 Dietz Street,,Oneonta,New York,13820,,,,,New York,,Not for Profit Corporation,42.098,-75.907578,"(42.098, -75.907578)"
47,UCPA of NYS-Handicapped Childrens,DTC,Diagnostic and Treatment Center,2/1/1998,18 Broad Street,,Johnson City,New York,13790,3157987117,,,3,Broome,3,Central New York Regional Office,,,7002126R,United Cerebral Palsy Association of New York State Inc,330 West 34th St,,New York,New York,10001,,,,,New York,,Not for Profit Corporation,42.114964,-75.95607,"(42.114964, -75.95607)"
48,Elizabeth Church Manor Nursing Home,NH,Residential Health Care Facility - SNF,2/1/1989,863 Front Street,,Binghamton,New York,13905,6077223463,,,3,Broome,3,Central New York Regional Office,,,0301307N,UMH ECM Corp.,863 Front Street,,Binghamton,New York,13905,,,,,New York,,Not for Profit Corporation,42.118538,-75.90686,"(42.118538, -75.90686)"
49,Good Shepherd-Fairview Home Inc,NH,Residential Health Care Facility - SNF,1/1/1901,80 Fairview Avenue,,Binghamton,New York,13904,6077242477,,,3,Broome,3,Central New York Regional Office,,,0301305N,Good Shepherd-Fairview Home Inc,80 Fairview Avenue,,Binghamton,New York,13904,,,,,New York,,Not for Profit Corporation,42.110928,-75.876694,"(42.110928, -75.876694)"
50,"Bridgewater Center for Rehabilitation & Nursing, LLC",NH,Residential Health Care Facility - SNF,2/1/1989,159-163 Front Street,,Binghamton,New York,13905,6077227225,,,3,Broome,3,Central New York Regional Office,,,0301308N,"Bridgewater Center for Rehabilitation and Nursing, LLC",159-163 Front Street,,Binghamton,New York,13905,,,,,New York,,LLC,42.100979,-75.916901,"(42.100979, -75.916901)"
56,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC",NH,Residential Health Care Facility - SNF,2/1/1989,301 Nantucket Drive,,Endicott,New York,13760,6077542705,,,3,Broome,3,Central New York Regional Office,,,0302303N,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC",301 Nantucket Drive,,Endicott,New York,13760,,,,,New York,,LLC,42.112522,-76.056824,"(42.112522, -76.056824)"
58,United Health Services Hospitals Inc. - Wilson Medical Center,HOSP,Hospital,2/1/1979,33-57 Harrison Street,,Johnson City,New York,13790,6077636000,,,3,Broome,3,Central New York Regional Office,United Health Services Hospitals Inc. - Binghamton General Hospital,42,0303001H,United Health Services Hospitals Inc,Po Box 54o,,Johnson City,New York,13790,,,,,New York,,Not for Profit Corporation,42.115063,-75.959122,"(42.115063, -75.959122)"
59,Ideal Senior Living Center,NH,Residential Health Care Facility - SNF,7/30/1990,601 High Avenue,,Endicott,New York,13760,6077867308,,,3,Broome,3,Central New York Regional Office,,,0302302N,Ideal Senior Living Center Inc,601 High Avenue,,Endicott,New York,13760,,,,,New York,,Not for Profit Corporation,42.091839,-76.067696,"(42.091839, -76.067696)"
60,"Susquehanna Nursing & Rehabilitation Center, LLC",NH,Residential Health Care Facility - SNF,8/1/1983,282 Riverside Dr,,Johnson City,New York,13790,6077299206,,,3,Broome,3,Central New York Regional Office,,,0303307N,"Susquehanna Nursing & Rehabilitation Center, LLC",282 Riverside Drive,,Johnson City,New York,13790,,,,,New York,,LLC,42.10033,-75.958817,"(42.10033, -75.958817)"
64,Willow Point Rehabilitation and Nursing Center,NH,Residential Health Care Facility - SNF,1/1/1901,3700 Old Vestal Road,,Vestal,New York,13850,6077634400,,,3,Broome,3,Central New York Regional Office,,,0364301N,County of Broome,Government Plaza - Po Box 1766,,Binghamton,New York,13902,,,,,New York,,County,42.100857,-75.985847,"(42.100857, -75.985847)"
66,Olean General Hospital,HOSP,Hospital,1/1/1901,515 Main Street,,Olean,New York,14760,7163756171,7163756394,,4,Cattaraugus,1,Western Regional Office - Buffalo,,,0401001H,Upper Allegheny Health System,515 Main Street,,Olean,New York,14760,Olean General Hospital Inc,515 Main Street,,Olean,New York,14760,Not for Profit Corporation,42.089844,-78.42688,"(42.089844, -78.42688)"
68,Cattaraugus County Department of Health,DTC,Diagnostic and Treatment Center,9/27/1979,1 Leo Moss Drive,,Olean,New York,14760,7163738050,,,4,Cattaraugus,1,Western Regional Office - Buffalo,,,0401200R,Cattaraugus County Health Department,302 Laurens Street,,Olean,New York,14760,,,,,New York,,County,42.086971,-78.450386,"(42.086971, -78.450386)"
71,The Pines Healthcare & Rehabilitation Centers Olean Campus,NH,Residential Health Care Facility - SNF,1/1/1901,2245 West State Street,,Olean,New York,14760,7163731910,,,4,Cattaraugus,1,Western Regional Office - Buffalo,,,0401303N,County of Cattaraugus,302 Laurens Street,,Olean,New York,14760,,,,,New York,,County,42.077087,-78.457413,"(42.077087, -78.457413)"
73,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC",NH,Residential Health Care Facility - SNF,8/1/1980,2178 North Fifth Street,,Allegany,New York,14706,7163732238,,,4,Cattaraugus,1,Western Regional Office - Buffalo,,,0420302N,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC",2178 North Fifth Street,,Allegany,New York,14706,,,,,New York,,LLC,42.094631,-78.489937,"(42.094631, -78.489937)"
81,"Absolut Center for Nursing and Rehabilitation at Salamanca, LLC",NH,Residential Health Care Facility - SNF,2/1/1989,451 Broad Street,,Salamanca,New York,14779,7169451800,,,4,Cattaraugus,1,Western Regional Office - Buffalo,,,0433303N,"Absolut Center for Nursing and Rehabilitation at Salamanca, LLC",451 Broad Street,,Salamanca,New York,14779,,,,,New York,,LLC,42.157581,-78.732101,"(42.157581, -78.732101)"
83,The Pines Healthcare & Rehabilitation Centers  Machias Campus,NH,Residential Health Care Facility - SNF,1/1/1901,9822 Route 16,,Machias,New York,14101,7163538516,,,4,Cattaraugus,1,Western Regional Office - Buffalo,,,0469300N,County of Cattaraugus,302 Laurens Street,,Olean,New York,14760,,,,,New York,,County,42.425858,-78.488762,"(42.425858, -78.488762)"
85,Auburn Community Hospital,HOSP,Hospital,1/1/1901,17 Lansing Street,,Auburn,New York,13021,3152557209,,,5,Cayuga,3,Central New York Regional Office,,,0501000H,Auburn Community Hospital,Lansing Street,,Auburn,New York,13021,,,,,New York,,Not for Profit Corporation,42.940811,-76.564758,"(42.940811, -76.564758)"
87,E John Gavras Center,DTC,Diagnostic and Treatment Center,9/27/1979,182 North Street,,Auburn,New York,13021,3152552746,,,5,Cayuga,3,Central New York Regional Office,,,0501200R,United Cerebral Palsy Association of Cayuga County Inc,182 North Street,,Auburn,New York,13021,,,,,New York,,Not for Profit Corporation,42.944103,-76.566963,"(42.944103, -76.566963)"
88,Cayuga County Department of Health,DTC,Diagnostic and Treatment Center,9/27/1979,160 Genesee Street,,Auburn,New York,13021,3152531301,,,5,Cayuga,3,Central New York Regional Office,,,0501201R,Cayuga County Department of Health,County House Rd Drawer E,,Sennett,New York,13150,,,,,New York,,County,42.929897,-76.569794,"(42.929897, -76.569794)"
89,Summit Pediatrics,DTC-EC,Diagnostic and Treatment Center Extension Clinic,3/16/2001,13 North Fulton Street,,Auburn,New York,13021,3152538477,,,5,Cayuga,3,Central New York Regional Office,East Hill Family Medical Inc.,6387,0501202R,"East Hill Family Medical, Inc",65 State Street,,Auburn,New York,13021,,,,,New York,,Not for Profit Corporation,42.934586,-76.559364,"(42.934586, -76.559364)"
91,Auburn Rehabilitation & Nursing Center,NH,Residential Health Care Facility - SNF,2/1/1980,85 Thornton Avenue,,Auburn,New York,13021,3152537351,,,5,Cayuga,3,Central New York Regional Office,,,0501310N,AURNC Operating LLC,20 Wood Ct,,Tarrytown,New York,10591,,,,,New York,,LLC,42.913609,-76.579185,"(42.913609, -76.579185)"
92,"The Commons on St. Anthony, a Skilled Nursing & Short Term Rehabilitation Community",NH,Residential Health Care Facility - SNF,1/1/1901,3 St Anthony Street,,Auburn,New York,13021,3152530351,,,5,Cayuga,3,Central New York Regional Office,,,0566302N,Loretto Management Corporation,750 East Brighton Avenue,,Syracuse,New York,13205,"Auburn Senior Services, Inc.",7451 County House Road,,Auburn,New York,13021,Not for Profit Corporation,42.917961,-76.581459,"(42.917961, -76.581459)"
96,Northwoods Rehabilitation and Nursing Center at Moravia,NH,Residential Health Care Facility - SNF,2/1/1989,7 Keeler Avenue,,Moravia,New York,13118,3154970440,3154979631,,5,Cayuga,3,Central New York Regional Office,,,0526304N,Northwoods Operations Associates LLC,7 Keeler Avenue,,Moravia,New York,13118,,,,,New York,,LLC,42.714851,-76.422775,"(42.714851, -76.422775)"
97,Huntington on Broadway Dialysis,DTC-EC,Diagnostic and Treatment Center Extension Clinic,12/19/1979,256 Broadway,,Huntington Station,New York,11746,6314234320,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,Port Washington Dialysis Center,9926,2951206R,"True North Dialysis Center, LLC",1 Cisney Avenue,,Floral Park,New York,11001,,,,,New York,,LLC,40.85696,-73.401199,"(40.85696, -73.401199)"
98,Brooks Memorial Hospital,HOSP,Hospital,1/1/1901,529 Central Avenue,,Dunkirk,New York,14048,7163661111,,,6,Chautauqua,1,Western Regional Office - Buffalo,,,0601000H,Lake Erie Regional Health System,529 Central Avenue,,Dunkirk,New York,14048,Brooks Memorial Hospital Inc,529 Central Avenue,,Dunkirk,New York,14048,Not for Profit Corporation,42.480774,-79.33387,"(42.480774, -79.33387)"
99,Chautauqua Nursing and Rehabilitation Center,NH,Residential Health Care Facility - SNF,1/1/1901,10836 Temple Road,,Dunkirk,New York,14048,7163666400,7163660114,,6,Chautauqua,1,Western Regional Office - Buffalo,,,0601304N,"Dunkirk Operating, LLC",10836 Temple Road,,Dunkirk,New York,14048,,,,,New York,,Business Corporation,42.474426,-79.362961,"(42.474426, -79.362961)"
102,UPMC Chautauqua at WCA,HOSP,Hospital,8/17/1990,51 Glasgow Avenue,,Jamestown,New York,14701,7164870141,7166648336,,6,Chautauqua,1,Western Regional Office - Buffalo,UPMC Chautauqua at WCA,103,0602001H,"UPMC Chautauqua Services, Inc.",207 Foote Avenue,,Jamestown,New York,14701,UPMC Chautauqua at WCA,207 Foote Avenue,,Jamestown,New York,14701,Not for Profit Corporation,42.091541,-79.245094,"(42.091541, -79.245094)"
103,UPMC Chautauqua at WCA,HOSP,Hospital,1/1/1901,207 Foote Avenue,,Jamestown,New York,14701,7164870141,7166648336,,6,Chautauqua,1,Western Regional Office - Buffalo,,,0602001H,"UPMC Chautauqua Services, Inc.",207 Foote Avenue,,Jamestown,New York,14701,UPMC Chautauqua at WCA,207 Foote Avenue,,Jamestown,New York,14701,Not for Profit Corporation,42.091236,-79.232872,"(42.091236, -79.232872)"
106,Heritage Park Rehab & Skilled Nursing,NH,Residential Health Care Facility - SNF,8/1/1990,150 Prather Avenue,,Jamestown,New York,14701,7164881921,,,6,Chautauqua,1,Western Regional Office - Buffalo,,,0602310N,"The Gerry Homes, Inc",Heritage Village Route 60,,Gerry,New York,14760,,,,,New York,,Not for Profit Corporation,42.090252,-79.238281,"(42.090252, -79.238281)"
107,Lutheran Retirement Home,NH,Residential Health Care Facility - SNF,1/1/1901,715 Falconer Street,,Jamestown,New York,14701,7166654905,,,6,Chautauqua,1,Western Regional Office - Buffalo,,,0602308N,Lutheran Social Service of Upstate NY Inc,715 Falconer Street,,Jamestown,New York,14701,,,,,New York,,Not for Profit Corporation,42.114246,-79.209785,"(42.114246, -79.209785)"
110,Chautauqua County Health Dept,DTC,Diagnostic and Treatment Center,9/27/1979,Hall R Clothier Memorial Bldg,,Mayville,New York,14757,7167534314,,,6,Chautauqua,1,Western Regional Office - Buffalo,,,0622200R,Chautauqua County Health Department,County Office Building,,Mayville,New York,14757,,,,,New York,,County,42.254534,-79.50544,"(42.254534, -79.50544)"
111,Westfield Memorial Hospital Inc,HOSP,Hospital,1/1/1901,189 E Main Street,,Westfield,New York,14787,7163264921,,,6,Chautauqua,1,Western Regional Office - Buffalo,,,0632000H,St. Vincent's Health System,232 West 25th Street,,Erie,New York,16544,Westfield Memorial Hospital Inc,189 East Main Street,,Westfield,New York,14787,Not for Profit Corporation,42.327965,-79.569412,"(42.327965, -79.569412)"
112,"Heritage Village Rehab and Skilled Nursing, Inc.",NH,Residential Health Care Facility - SNF,2/1/1989,4570 Route 60,,Gerry,New York,14740,7169854612,,,6,Chautauqua,1,Western Regional Office - Buffalo,,,0662301N,"Heritage Village Rehab and Skilled Nursing, Inc.",4570 Route 60,,Gerry,New York,14740,,,,,New York,,Not for Profit Corporation,42.196171,-79.251938,"(42.196171, -79.251938)"
114,TLC Health Network Lake Shore Hospital,HOSP,Hospital,8/1/1980,845 Routes 5&20,,Irving,New York,14081,7169517000,,,6,Chautauqua,1,Western Regional Office - Buffalo,,,0427000H,TLC Health Network,100 Memorial Drive,,Gowanda,New York,14070,,,,,New York,,Not for Profit Corporation,42.559372,-79.126991,"(42.559372, -79.126991)"
116,Arnot Ogden Medical Center,HOSP,Hospital,1/1/1901,600 Roe Avenue,,Elmira,New York,14905,6077374230,,,7,Chemung,2,Western Regional Office - Rochester,,,0701000H,Arnot Health Inc.,600 Roe Avenue,,Elmira,New York,14905,Arnot Ogden Medical Center,600 Roe Avenue,,Elmira,New York,14901,Not for Profit Corporation,42.099285,-76.826782,"(42.099285, -76.826782)"
118,St. Joseph's Hospital,HOSP,Hospital,1/1/1901,555 St. Joseph's Boulevard,,Elmira,New York,14901,6077336541,,,7,Chemung,2,Western Regional Office - Rochester,,,0701001H,Arnot Health Inc.,600 Roe Avenue,,Elmira,New York,14905,St Josephs Hospital Inc,555 East Market Street,,Elmira,New York,14902,Not for Profit Corporation,42.091446,-76.79686,"(42.091446, -76.79686)"
118,St. Joseph's Hospital,HOSP,Hospital,1/1/1901,555 St. Joseph's Boulevard,,Elmira,New York,14901,6077336541,,,7,Chemung,2,Western Regional Office - Rochester,,,0701001H,Arnot Health Inc.,600 Roe Avenue,,Elmira,New York,14905,St Josephs Hospital Inc,555 St. Joseph's Blvd.,,Elmira,New York,14902,Not for Profit Corporation,42.091446,-76.79686,"(42.091446, -76.79686)"
118,St. Joseph's Hospital,HOSP,Hospital,1/1/1901,555 St. Joseph's Boulevard,,Elmira,New York,14901,6077336541,,,7,Chemung,2,Western Regional Office - Rochester,,,0701001H,Arnot Health Inc.,600 Roe Avenue,,Elmira,New York,14905,St. Joseph's Hospital,555 East Market Street,,Elmira,New York,14902,Not for Profit Corporation,42.091446,-76.79686,"(42.091446, -76.79686)"
118,St. Joseph's Hospital,HOSP,Hospital,1/1/1901,555 St. Joseph's Boulevard,,Elmira,New York,14901,6077336541,,,7,Chemung,2,Western Regional Office - Rochester,,,0701001H,Arnot Health Inc.,600 Roe Avenue,,Elmira,New York,14905,St. Joseph's Hospital,555 St. Joseph's Blvd.,,Elmira,New York,14902,Not for Profit Corporation,42.091446,-76.79686,"(42.091446, -76.79686)"
119,St. Joseph's Hospital - Skilled Nursing Facility,NH,Residential Health Care Facility - SNF,1/1/1901,555 St. Joseph's Boulevard,,Elmira,New York,14902,6077336541,,,7,Chemung,2,Western Regional Office - Rochester,,,0701001N,Arnot Health Inc.,600 Roe Avenue,,Elmira,New York,14905,St. Joseph's Hospital,555 East Market Street,,Elmira,New York,14902,Not for Profit Corporation,42.091446,-76.79686,"(42.091446, -76.79686)"
119,St. Joseph's Hospital - Skilled Nursing Facility,NH,Residential Health Care Facility - SNF,1/1/1901,555 St. Joseph's Boulevard,,Elmira,New York,14902,6077336541,,,7,Chemung,2,Western Regional Office - Rochester,,,0701001N,Arnot Health Inc.,600 Roe Avenue,,Elmira,New York,14905,St. Joseph's Hospital,555 St. Joseph's Blvd.,,Elmira,New York,14902,Not for Profit Corporation,42.091446,-76.79686,"(42.091446, -76.79686)"
120,Chemung County Health Dept,DTC,Diagnostic and Treatment Center,2/1/1979,103 Washington Street (PO Box 588),,Elmira,New York,14902,6077372872,,,7,Chemung,2,Western Regional Office - Rochester,,,0701200R,County of Chemung,255 Lake Street,,Elmira,New York,14901,,,,,New York,,County,42.093357,-76.796593,"(42.093357, -76.796593)"
123,Chemung County Health Center-Nursing Facility,NH,Residential Health Care Facility - SNF,1/1/1901,103 Washington Street,,Elmira,New York,14901,6077372001,,,7,Chemung,2,Western Regional Office - Rochester,,,0701301N,County of Chemung,255 Lake Street,,Elmira,New York,14901,,,,,New York,,County,42.093357,-76.796593,"(42.093357, -76.796593)"
124,Elcor Nursing and Rehabilitation Center,NH,Residential Health Care Facility - SNF,2/1/1989,48 Colonial Drive,,Horseheads,New York,14845,6077390304,6077960540,,7,Chemung,2,Western Regional Office - Rochester,,,0722304N,"Elcor Operating Company, LLC",300 Gleed Avenue,,East Aurora,New York,14052,,,,,New York,,LLC,42.162086,-76.854225,"(42.162086, -76.854225)"
126,ChaseHealth Rehab and Residential Care,NH,Residential Health Care Facility - SNF,1/1/1901,"One Terrace Heights, P.O. Box 250",,New Berlin,New York,13411,6078477000,,,8,Chenango,3,Central New York Regional Office,,,0823300N,Chase Memorial Nursing Home Company Inc,1 Terrace Heights,,New Berlin,New York,13411,,,,,New York,,Not for Profit Corporation,42.6329,-75.316498,"(42.6329, -75.316498)"
